rank	score	topic	industry	production	impact	reels_fit	title	year	citations	venue	companies	link
292	0.282	core	0.00	0.00	0.28	0.00	The Minority Matters: A Diversity-Promoting Collaborative Metric Learning Algorithm	2022	13	NeurIPS		https://doi.org/10.48550/arXiv.2209.15292
293	0.282	core	0.00	0.00	0.24	0.00	MRMLREC: A Two-Stage Approach for Addressing Data Sparsity in MOOC Video Recommendation (Student Abstract)	2024	8	AAAI		https://doi.org/10.1609/aaai.v38i21.30536
294	0.281	adjacent	0.00	0.00	0.60	0.00	Learning Graph-based Disentangled Representations for Next POI Recommendation	2022	83	SIGIR		https://doi.org/10.1145/3477495.3532012
295	0.281	adjacent	0.00	0.00	0.60	0.00	Hierarchical Multi-Task Graph Recurrent Network for Next POI Recommendation	2022	83	SIGIR		https://doi.org/10.1145/3477495.3531989
296	0.281	adjacent	0.00	0.25	0.36	0.00	Feature-Level Attentive ICF for Recommendation	2022	25	ACM TOIS		https://doi.org/10.1145/3490477
297	0.280	core	0.00	0.00	0.00	0.00	PI-adaptDiv: an adaptive algorithm to prevent and escape online filter bubbles	2026	0	ACM RecSys		https://doi.org/10.1145/3803548
298	0.280	core	0.00	0.00	0.00	0.00	Calibrated Recommendations: Survey and Future Directions	2026	0	ACM RecSys		https://doi.org/10.1145/3789266
299	0.280	core	0.00	0.00	0.00	0.00	The Impact of Position and Contrast Effects in Recommender Systems on Consumer Behavior: A Field Experiment	2025	0	ACM RecSys		https://doi.org/10.1145/3774912
300	0.280	core	0.00	0.00	0.00	0.00	Multilinguality in MIND: Advancing Cross-lingual News Recommendation with a Multilingual Dataset	2025	0	ACM RecSys		https://doi.org/10.1145/3777415
301	0.279	adjacent	0.00	0.00	0.66	0.00	MetaKG: Meta-Learning on Knowledge Graph for Cold-Start Recommendation	2022	103	IEEE TKDE		https://doi.org/10.1109/tkde.2022.3168775
302	0.279	adjacent	0.00	0.00	0.66	0.00	Popularity Bias is not Always Evil: Disentangling Benign and Harmful Bias for Recommendation	2022	103	IEEE TKDE		https://doi.org/10.1109/tkde.2022.3218994
303	0.279	core	0.00	0.00	0.07	0.00	Effectiveness of Recommender Systems in Knowledge Discovery	2024	1	CIKM		https://doi.org/10.47941/ejikm.1753
304	0.278	adjacent	0.00	0.00	0.32	0.20	Disentangled Cascaded Graph Convolution Networks for Multi-Behavior Recommendation	2024	15	ACM RecSys		https://doi.org/10.1145/3673244
305	0.277	adjacent	0.00	0.25	0.00	0.20	Compositions of Variant Experts for Integrating Short-Term and Long-Term Preferences	2026	0	ACM RecSys		https://doi.org/10.1145/3795520
306	0.276	core	0.00	0.00	0.20	0.00	Multi-type MOOCs Recommendation: Leveraging Deep Multi-Relational Representation and Hierarchical Reasoning	2025	5	AAAI		https://doi.org/10.1609/aaai.v39i12.33453
307	0.276	core	0.00	0.00	0.16	0.00	”It Deserves to Be Further Developed”: A Study of Mainstream Web Interface Adaptability for People with Low Vision	2022	4	ACM CHI		https://doi.org/10.1145/3491101.3519622
308	0.275	adjacent	0.00	0.25	0.36	0.00	Fine-Tuning Large Language Model Based Explainable Recommendation with Explainable Quality Reward	2024	20	AAAI		https://doi.org/10.1609/aaai.v38i8.28777
309	0.275	adjacent	0.00	0.25	0.18	0.00	TAKCO: A Platform for Extracting Novel Facts from Tables	2021	5	TheWebConf / WWW		https://doi.org/10.1145/3442442.3458611
310	0.274	adjacent	0.00	0.25	0.32	0.00	Learning Dynamic User Interest Sequence in Knowledge Graphs for Click-Through Rate Prediction	2021	20	IEEE TKDE		https://doi.org/10.1109/tkde.2021.3073717
311	0.274	core	0.00	0.00	0.00	0.20	SAFA: Sequential Recommendation With Adaptive Sparse Attention and Frequency-Aware Encoding	2026	0	IEEE TKDE		https://doi.org/10.1109/tkde.2026.3686613
312	0.274	core	0.00	0.00	0.00	0.20	SSRec: Structured Ranking Optimization Criterion for Sequential Recommendation	2026	0	ACM TOIS		https://doi.org/10.1145/3796521
313	0.274	core	0.00	0.00	0.00	0.00	From interests to behavior: hierarchical causal-inspired structure modeling for personalized news recommendation	2025	0	TheWebConf / WWW		https://doi.org/10.1007/s11280-025-01394-4
314	0.274	core	0.00	0.00	0.00	0.20	Breaking the Loop: Causal Learning to Mitigate Echo Chambers in Social Networks	2025	0	ACM TOIS		https://doi.org/10.1145/3757738
315	0.274	core	0.00	0.00	0.15	0.00	Uncertainty Calibration for Counterfactual Propensity Estimation in Recommendation	2025	3	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3552658
316	0.274	core	0.00	0.00	0.22	0.00	Graph-Based Algorithms for Diverse Similarity Search	2025	6	ICML		https://doi.org/10.48550/arXiv.2502.13336
317	0.273	core	0.00	0.00	0.18	0.00	Online Platforms and the Fair Exposure Problem under Homophily	2023	5	AAAI		https://doi.org/10.1609/aaai.v37i10.26404
318	0.273	adjacent	0.00	0.00	0.48	0.00	Re4: Learning to Re-contrast, Re-attend, Re-construct for Multi-interest Recommendation	2022	49	TheWebConf / WWW		https://doi.org/10.1145/3485447.3512094
319	0.273	core	0.00	0.00	0.07	0.00	Report on the SIGIR 2023 Session on Diversity, Equity and Inclusivity	2023	1	SIGIR		https://doi.org/10.1145/3642979.3642993
320	0.272	core	0.00	0.00	0.14	0.00	Structure Diversity and Mean Hitting Time for Random Walks on Stochastic Uniform Growth Tree Networks	2022	3	IEEE TKDE		https://doi.org/10.1109/tkde.2022.3206210
321	0.272	adjacent	0.00	0.00	0.47	0.00	A novel knowledge graph embedding based API recommendation method for Mashup development	2021	52	TheWebConf / WWW		https://doi.org/10.1007/s11280-021-00894-3
322	0.270	adjacent	0.00	0.00	0.49	0.20	Harnessing Multimodal Large Language Models for Multimodal Sequential Recommendation	2025	27	AAAI		https://doi.org/10.1609/aaai.v39i12.33426
323	0.269	adjacent	0.00	0.25	0.29	0.00	HidAttack: An Effective and Undetectable Model Poisoning Attack to Federated Recommenders	2024	12	IEEE TKDE		https://doi.org/10.1109/tkde.2024.3522763
324	0.268	adjacent	0.00	0.25	0.32	0.00	DisCo: Graph-Based Disentangled Contrastive Learning for Cold-Start Cross-Domain Recommendation	2025	12	AAAI		https://doi.org/10.1609/aaai.v39i11.33312
325	0.268	core	0.00	0.00	0.00	0.20	Semi-Supervised Synthetic Data Generation with Fine-Grained Relevance Control for Short Video Search Relevance Modeling	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i37.40425
326	0.268	core	0.00	0.00	0.00	0.20	Capturing Dynamic User Interests Under Modality Imbalance for Multimodal Sequential Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i18.38544
327	0.268	core	0.00	0.00	0.00	0.20	Assessing LLMs for Serendipity Discovery in Knowledge Graphs: A Case for Drug Repurposing	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i19.38618
328	0.268	core	0.00	0.00	0.00	0.00	Diversity-oriented leadership and employee creativity: the role of knowledge sharing and openness to experience	2026	0	CIKM		https://doi.org/10.1108/vjikms-07-2025-0332
329	0.268	core	0.00	0.00	0.00	0.00	Knowledge Sharing Culture in Multinational Corporations	2024	0	CIKM		https://doi.org/10.47941/ejikm.2061
330	0.268	core	0.00	0.00	0.00	0.00	Democratization of Book Publishing in Nigeria: An Analysis of Self-Publishing from a Digital Intermediation Perspective	2023	0	CIKM		https://doi.org/10.24191/jikm.v13i1.4716
331	0.267	core	0.00	0.00	0.11	0.00	A Case Study on Improving Accessibility of Healthcare Care Facility in Low-resource Settings	2022	2	ACM CHI		https://doi.org/10.1145/3491101.3503557
332	0.267	core	0.00	0.00	0.11	0.00	xai-primer.com — A Visual Ideation Space of Interactive Explainers	2022	2	ACM CHI		https://doi.org/10.1145/3491101.3519880
333	0.267	adjacent	0.00	0.50	0.00	0.00	Layout-Aware Document Parsing with Visual-Linguistic Fusion: The DATA-LUX with Academic Content Service Provider	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i47.41438
334	0.266	adjacent	0.00	0.25	0.31	0.00	Medical MLLM Is Vulnerable: Cross-Modality Jailbreak and Mismatched Attacks on Medical Multimodal Large Language Models	2025	11	AAAI		https://doi.org/10.1609/aaai.v39i4.32396
335	0.266	core	0.00	0.00	0.14	0.00	Black-box Audit of YouTube's Video Recommendation: Investigation of Misinformation Filter Bubble Dynamics (Extended Abstract)	2022	3	IJCAI		https://doi.org/10.24963/ijcai.2022/749
336	0.266	adjacent	0.00	0.00	0.24	0.20	Pone-GNN: Integrating Positive and Negative Feedback in Graph Neural Networks for Recommender Systems	2025	7	ACM RecSys		https://doi.org/10.1145/3711666
337	0.265	adjacent	0.00	0.25	0.26	0.00	Collaborative Reflection-Augmented Autoencoder Network for Recommender Systems	2021	12	ACM TOIS		https://doi.org/10.1145/3467023
338	0.265	adjacent	0.00	0.00	0.27	0.40	Toward Best Practices for Training Multilingual Dense Retrieval Models	2023	12	ACM TOIS		https://doi.org/10.1145/3613447
339	0.264	adjacent	0.00	0.00	0.65	0.00	The Out-of-Distribution Problem in Explainability and Search Methods for Feature Importance Explanations	2021	112	NeurIPS		https://www.semanticscholar.org/paper/e8a44417703e9facebf5a630069b7484664d6087
340	0.264	adjacent	0.00	0.25	0.33	0.00	How Does Message Passing Improve Collaborative Filtering?	2024	16	NeurIPS		https://doi.org/10.48550/arXiv.2404.08660
341	0.263	core	0.00	0.00	0.12	0.00	DivGCL: A Graph Contrastive Learning Model for Diverse Recommendation	2025	2	AAAI		https://doi.org/10.1609/aaai.v39i16.33852
342	0.262	core	0.00	0.00	0.00	0.00	Graph Meta Network for Multi-Behavior Recommendation with Interaction Heterogeneity and Diversity	2021	0	SIGIR		https://sigir.org/sigir2021/accepted-papers/#119
343	0.261	core	0.00	0.00	0.07	0.00	Hierarchical Intent-Based Interest Disentanglement for Personalized Recommendation	2025	1	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3569097
344	0.261	core	0.00	0.00	0.11	0.00	Now We’re Talking: Better Deliberation Groups through Submodular Optimization	2023	2	AAAI		https://doi.org/10.1609/aaai.v37i5.25682
345	0.261	core	0.00	0.00	0.11	0.00	Demonstrating the Equivalence of List Based and Aggregate Metrics to Measure the Diversity of Recommendations (Student Abstract)	2021	2	AAAI		https://doi.org/10.1609/aaai.v35i18.17886
346	0.261	core	0.00	0.00	0.07	0.00	Conversational Recommendations With User Entity Focus and Multi-Granularity Latent Variable Enhancement	2024	1	IEEE TKDE		https://doi.org/10.1109/tkde.2024.3523283
347	0.261	adjacent	0.00	0.00	0.48	0.00	Socially-aware Dual Contrastive Learning for Cold-Start Recommendation	2022	49	SIGIR		https://doi.org/10.1145/3477495.3531780
348	0.261	adjacent	0.00	0.25	0.27	0.00	Disentangled CVAEs with Contrastive Learning for Explainable Recommendation	2023	12	AAAI		https://doi.org/10.1609/aaai.v37i11.26604
349	0.260	core	0.00	0.00	0.14	0.00	Multi-slots Online Matching with High Entropy	2022	3	ICML		https://www.semanticscholar.org/paper/a9339a078f2c1a16166bea4a331081cde53fa48b
350	0.259	adjacent	0.00	0.00	0.54	0.00	A Unified Multi-task Learning Framework for Multi-goal Conversational Recommender Systems	2022	66	ACM TOIS		https://doi.org/10.1145/3570640
351	0.259	adjacent	0.00	0.25	0.22	0.00	Causal Variational Inference for Deconfounded Multi-Behavior Recommendation	2025	6	ACM TOIS		https://doi.org/10.1145/3745023
352	0.258	adjacent	0.00	0.25	0.11	0.20	Multi-Armed Bandit Problem with Temporally-Partitioned Rewards: When Partial Feedback Counts	2022	2	IJCAI		https://doi.org/10.24963/ijcai.2022/472
353	0.256	core	0.00	0.00	0.07	0.00	Selection of LLM Fine-Tuning Data Based on Orthogonal Rules	2026	1	AAAI		https://doi.org/10.1609/aaai.v40i37.40444
354	0.255	core	0.00	0.00	0.07	0.00	Distribution-Free Uncertainty Quantification in Mechanical Ventilation Treatment: A Conformal Deep Q-Learning Framework	2025	1	AAAI		https://doi.org/10.1609/aaai.v39i27.35013
355	0.255	adjacent	0.00	0.00	0.55	0.00	Next POI Recommendation with Dynamic Graph and Explicit Dependency	2023	58	AAAI		https://doi.org/10.1609/aaai.v37i4.25608
356	0.254	adjacent	0.00	0.00	0.21	0.20	High-level preferences as positive examples in contrastive learning for multi-interest sequential recommendation	2024	6	TheWebConf / WWW		https://doi.org/10.1007/s11280-024-01263-6
357	0.254	adjacent	0.00	0.00	0.50	0.00	Sequential-Knowledge-Aware Next POI Recommendation: A Meta-Learning Approach	2021	63	ACM TOIS		https://doi.org/10.1145/3460198
358	0.253	adjacent	0.00	0.25	0.00	0.00	Understanding Sensitive Attribute Association Bias in Recommendation Embedding Algorithms	2025	0	ACM RecSys		https://doi.org/10.1145/3777548
359	0.253	adjacent	0.00	0.00	0.35	0.20	Contrastive Multi-view Interest Learning for Cross-domain Sequential Recommendation	2023	21	ACM TOIS		https://doi.org/10.1145/3632402
360	0.253	adjacent	0.00	0.00	0.35	0.00	BotFinder: a novel framework for social bots detection in online social networks based on graph embedding and community detection	2022	23	TheWebConf / WWW		https://doi.org/10.1007/s11280-022-01114-2
361	0.253	adjacent	0.00	0.00	0.42	0.20	Towards Out-of-Distribution Sequential Event Prediction: A Causal Treatment	2022	37	NeurIPS		https://doi.org/10.48550/arXiv.2210.13005
362	0.251	adjacent	0.00	0.00	0.57	0.00	Incorporating Bias-aware Margins into Contrastive Loss for Collaborative Filtering	2022	73	NeurIPS		https://doi.org/10.48550/arXiv.2210.11054
363	0.250	core	0.00	0.00	0.00	0.00	CPGRec+: A Balance-Oriented Framework for Personalized Video Game Recommendations	2026	0	ACM TOIS		https://doi.org/10.1145/3789264
364	0.250	core	0.00	0.00	0.00	0.00	Valid Coverage Oriented Item Perspective Recommendation	2025	0	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3547968
365	0.250	core	0.00	0.00	0.00	0.00	Social Cognitive Theory Enhanced Diversified Recommendation	2025	0	ACM TOIS		https://doi.org/10.1145/3767324
366	0.250	core	0.00	0.00	0.00	0.00	Uncovering Recommendation Serendipity with Objective Data-driven Factor Investigation	2025	0	ACM TOIS		https://doi.org/10.1145/3758092
367	0.250	core	0.00	0.00	0.00	0.00	GPU-Accelerated Structural Diversity Search in Graphs	2025	0	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3547443
368	0.250	adjacent	0.00	0.00	0.29	0.00	KGFlex: Efficient Recommendation with Sparse Feature Factorization and Knowledge Graphs	2023	14	ACM RecSys		https://doi.org/10.1145/3588901
369	0.250	adjacent	0.00	0.25	0.24	0.00	Estimating Propensity for Causality-based Recommendation without Exposure Data	2023	9	NeurIPS		https://doi.org/10.48550/arXiv.2310.20388
370	0.249	core	0.00	0.00	0.07	0.00	SAFER: A Calibrated Risk-Aware Multimodal Recommendation Model for Dynamic Treatment Regimes	2025	1	ICML		https://doi.org/10.48550/arXiv.2506.06649
371	0.249	core	0.00	0.00	0.07	0.00	Simple and Effective VAE Training with Calibrated Decoders	2021	1	ICML		http://proceedings.mlr.press/v139/rybkin21a/rybkin21a.pdf
372	0.249	adjacent	0.00	0.00	0.32	0.20	OtherTube: Facilitating Content Discovery and Reflection by Exchanging YouTube Recommendations with Strangers	2022	19	ACM CHI		https://doi.org/10.1145/3491102.3502028
373	0.247	adjacent	0.00	0.00	0.50	0.00	Next Point-of-Interest Recommendation with Inferring Multi-step Future Preferences	2022	56	IJCAI		https://doi.org/10.24963/ijcai.2022/521
374	0.247	adjacent	0.00	0.25	0.00	0.20	Multi-Channel Hypergraph Contrastive Learning for Matrix Completion	2025	0	ACM TOIS		https://doi.org/10.1145/3768319
375	0.246	adjacent	0.00	0.00	0.38	0.00	Next Point-of-Interest Recommendation with Auto-Correlation Enhanced Multi-Modal Transformer Network	2022	29	SIGIR		https://doi.org/10.1145/3477495.3531905
376	0.245	adjacent	0.00	0.00	0.26	0.00	An Explicitly Weighted GCN Aggregator based on Temporal and Popularity Features for Recommendation	2023	11	ACM RecSys		https://doi.org/10.1145/3587272
377	0.245	adjacent	0.00	0.00	0.45	0.00	Intent-Guided Heterogeneous Graph Contrastive Learning for Recommendation	2025	23	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3536096
378	0.245	adjacent	0.00	0.00	0.45	0.00	A Novel Expandable Borderline Smote Over-Sampling Method for Class Imbalance Problem	2025	23	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3544284
379	0.245	adjacent	0.00	0.00	0.15	0.20	Adaptive user multi-level and multi-interest preferences for sequential recommendation	2025	3	TheWebConf / WWW		https://doi.org/10.1007/s11280-025-01332-4
380	0.244	adjacent	0.00	0.00	0.26	0.00	Enhancing Recommender Systems: Deep Modality Alignment with Large Multi-Modal Encoders	2025	8	ACM RecSys		https://doi.org/10.1145/3718099
381	0.244	adjacent	0.00	0.00	0.26	0.00	Deep Learning of Dynamic POI Generation and Optimisation for Itinerary Recommendation	2025	8	ACM RecSys		https://doi.org/10.1145/3713079
382	0.244	core	0.00	0.00	0.00	0.00	Diversity Recommendation via Causal Deconfounding of Co-purchase Relations and Counterfactual Exposure	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i19.38670
383	0.244	core	0.00	0.00	0.00	0.00	Task-Aware Meta-Learning on Heterogeneous Knowledge Graph for POI Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i18.38615
384	0.244	core	0.00	0.00	0.00	0.00	Quantifying the Potential to Escape Filter Bubbles: A Behavior-Aware Measure via Contrastive Simulation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i17.38492
385	0.244	core	0.00	0.00	0.00	0.00	DSCF: Dual-Source Counterfactual Fusion for High-Dimensional Combinatorial Interventions	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i25.39228
386	0.244	core	0.00	0.00	0.00	0.00	MACRec: A Multi-View Subspace Alignment Framework for Contrastive Sampling Calibration in Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i18.38560
387	0.244	core	0.00	0.00	0.00	0.00	Too Sure for Our Own Good: A User Study on AI Confidence and Human Reliance	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i21.38798
388	0.244	core	0.00	0.00	0.00	0.00	AuditAgent: LLM Agent for Risks Auditing in Recommender Systems	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i48.42382
389	0.244	core	0.00	0.00	0.00	0.00	Test-time Diverse Reasoning by Riemannian Activation Steering	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i37.40407
390	0.244	core	0.00	0.00	0.00	0.00	Beetrap-MC: A Minecraft-Based AI Literacy Tool for Teaching Filter Bubbles to Middle School Students	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i47.41524
391	0.244	core	0.00	0.00	0.00	0.00	A Theoretical Framework for an Efficient Normalizing Flow-Based Solution to the Electronic Schrödinger Equation	2025	0	AAAI		https://doi.org/10.1609/aaai.v39i1.31996
392	0.244	core	0.00	0.00	0.00	0.00	Introducing Uninformed Search with Tangible Board Games	2021	0	AAAI		https://doi.org/10.1609/aaai.v25i3.18839
393	0.244	adjacent	0.00	0.00	0.29	0.00	Mining multiple sequential patterns through multi-graph representation for next point-of-interest recommendation	2022	15	TheWebConf / WWW		https://doi.org/10.1007/s11280-022-01094-3
394	0.243	adjacent	0.00	0.00	0.29	0.20	GeoCo: Geographical Correlation Enhanced Network for POI Recommendation	2024	12	IEEE TKDE		https://doi.org/10.1109/tkde.2024.3425151
395	0.243	adjacent	0.00	0.00	0.36	0.00	AutoGSR	2022	25	SIGIR		https://doi.org/10.1145/3477495.3531940
396	0.243	adjacent	0.00	0.00	0.28	0.20	Intent Disentanglement and Feature Self-Supervision for Novel Recommendation	2022	14	IEEE TKDE		https://doi.org/10.1109/tkde.2022.3175536
397	0.242	adjacent	0.00	0.00	0.25	0.00	PARSRec	2022	10	KDD		https://doi.org/10.1145/3534678.3539432
398	0.242	adjacent	0.00	0.00	0.43	0.00	Hierarchical Transformer with Spatio-temporal Context Aggregation for Next Point-of-interest Recommendation	2023	34	ACM TOIS		https://doi.org/10.1145/3597930
399	0.242	adjacent	0.00	0.25	0.12	0.00	Review-Enhanced Universal Sequence Representation Learning for Recommender Systems	2025	2	ACM TOIS		https://doi.org/10.1145/3717832
400	0.241	adjacent	0.00	0.25	0.00	0.20	Multi-granularity Intent Modeling with Adversarial Robustness for Sequential Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i17.38489
401	0.241	adjacent	0.00	0.00	0.35	0.00	Explainable Session-based Recommendation with Meta-path Guided Instances and Self-Attention Mechanism	2022	23	SIGIR		https://doi.org/10.1145/3477495.3531895
402	0.241	adjacent	0.00	0.00	0.42	0.00	”It Matches My Worldview”: Examining Perceptions and Attitudes Around Fake Videos	2022	37	ACM CHI		https://doi.org/10.1145/3491102.3517646
403	0.240	adjacent	0.00	0.00	0.46	0.00	Graph Disentangled Contrastive Learning with Personalized Transfer for Cross-Domain Recommendation	2024	32	AAAI		https://doi.org/10.1609/aaai.v38i8.28723
404	0.240	adjacent	0.00	0.00	0.34	0.00	Neutralizing Popularity Bias in Recommendation Models	2022	22	SIGIR		https://doi.org/10.1145/3477495.3531907
405	0.240	adjacent	0.00	0.00	0.49	0.00	SIMPLE: Specialized Model-Sample Matching for Domain Generalization	2023	46	ICLR		https://www.semanticscholar.org/paper/dfcffa149b9f0f6b46be80e8ed331a2dd1102009
406	0.240	adjacent	0.00	0.00	0.42	0.00	Popularity Bias in False-positive Metrics for Recommender Systems Evaluation	2021	39	ACM TOIS		https://doi.org/10.1145/3452740
407	0.240	adjacent	0.00	0.00	0.42	0.00	A Novel Classifier Ensemble Method Based on Subspace Enhancement for High-Dimensional Data Classification	2021	39	IEEE TKDE		https://doi.org/10.1109/tkde.2021.3087517
408	0.240	adjacent	0.00	0.00	0.23	0.00	Reproducing Popularity Bias in Recommendation: The Effect of Evaluation Strategies	2023	8	ACM RecSys		https://doi.org/10.1145/3637066
409	0.239	adjacent	0.00	0.00	0.26	0.00	Meta-path automatically extracted from heterogeneous information network for recommendation	2024	10	TheWebConf / WWW		https://doi.org/10.1007/s11280-024-01265-4
410	0.239	adjacent	0.00	0.00	0.26	0.00	Adaptive self-propagation graph convolutional network for recommendation	2023	11	TheWebConf / WWW		https://doi.org/10.1007/s11280-023-01182-y
411	0.239	adjacent	0.00	0.00	0.00	0.60	SHARE: Synthesizing Heterogeneous Autism-support Records into Evidence-based Recommendations	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i48.42338
412	0.238	adjacent	0.00	0.00	0.48	0.00	Revisiting Link Prediction: A Data Perspective	2023	44	ICLR		https://doi.org/10.48550/arXiv.2310.00793
413	0.238	core	0.00	0.00	0.00	0.00	Diversity Based Edge Pruning of Neural Networks Using Determinantal Point Processes	2021	0	ICLR		https://openreview.net/pdf?id=rXH8XPsWPZ
414	0.238	core	0.00	0.00	0.00	0.00	Probabilistic Generating Circuits	2021	0	ICML		https://dblp.uni-trier.de/db/conf/icml/icml2021.html#ZhangJB21
415	0.238	core	0.00	0.00	0.00	0.00	ARMOURED: Adversarially Robust MOdels using Unlabeled data by REgularizing Diversity	2021	0	ICLR		https://openreview.net/pdf?id=JoCR4h9O3Ew
416	0.238	adjacent	0.00	0.00	0.29	0.20	Improving Multimodal Social Media Popularity Prediction via Selective Retrieval Knowledge Augmentation	2025	10	AAAI		https://doi.org/10.1609/aaai.v39i1.32078
417	0.237	adjacent	0.00	0.00	0.25	0.00	A novel robust memetic algorithm for dynamic community structures detection in complex networks	2024	9	TheWebConf / WWW		https://doi.org/10.1007/s11280-024-01238-7
418	0.237	adjacent	0.00	0.00	0.40	0.00	Mitigating Popularity Bias for Users and Items with Fairness-centric Adaptive Recommendation	2022	32	ACM TOIS		https://doi.org/10.1145/3564286
419	0.236	adjacent	0.00	0.25	0.12	0.00	Bagging-Expert Network for Multi-Task Learning: A Depolarization Solution in Multi-Gate Mixture-of-Experts	2025	2	AAAI		https://doi.org/10.1609/aaai.v39i21.34395
420	0.235	adjacent	0.00	0.00	0.39	0.00	A Novel Algorithm for Efficiently Mining Spatial Multi-Level Co-Location Patterns	2024	23	IEEE TKDE		https://doi.org/10.1109/tkde.2024.3381178
421	0.234	adjacent	0.00	0.00	0.23	0.00	AskMe: joint individual-level and community-level behavior interaction for question recommendation	2021	9	TheWebConf / WWW		https://doi.org/10.1007/s11280-021-00964-6
422	0.234	adjacent	0.00	0.00	0.38	0.00	Next Point-of-Interest Recommendation With Adaptive Graph Contrastive Learning	2024	22	IEEE TKDE		https://doi.org/10.1109/tkde.2024.3509480
423	0.234	adjacent	0.00	0.00	0.23	0.00	A novel semantic-aware search scheme based on BCI-tree index over encrypted cloud data	2023	8	TheWebConf / WWW		https://doi.org/10.1007/s11280-023-01176-w
424	0.233	adjacent	0.00	0.00	0.38	0.00	Enhancing Drug Recommendations Via Heterogeneous Graph Representation Learning in EHR Networks	2023	25	IEEE TKDE		https://doi.org/10.1109/tkde.2023.3329025
425	0.233	adjacent	0.00	0.00	0.26	0.00	Identification and prioritization of critical success factors of knowledge management implementation using a novel hybrid group decision-making model	2021	12	CIKM		https://doi.org/10.1108/vjikms-02-2021-0023
426	0.232	adjacent	0.00	0.00	0.26	0.20	Dynamic Multi-Interest Graph Neural Network for Session-Based Recommendation	2025	8	AAAI		https://doi.org/10.1609/aaai.v39i12.33343
427	0.232	adjacent	0.00	0.00	0.18	0.00	Learning Hierarchical Spatial Tasks with Visiting Relations for Next POI Recommendation	2023	5	ACM RecSys		https://doi.org/10.1145/3610584
428	0.232	adjacent	0.00	0.00	0.37	0.00	SCPM-CR: A Novel Method for Spatial Co-Location Pattern Mining With Coupling Relation Consideration	2021	28	IEEE TKDE		https://doi.org/10.1109/tkde.2021.3060119
429	0.231	adjacent	0.00	0.00	0.21	0.20	Learnable Model Augmentation Contrastive Learning for Sequential Recommendation	2023	7	IEEE TKDE		https://doi.org/10.1109/tkde.2023.3330426
430	0.231	adjacent	0.00	0.00	0.29	0.20	Algorithmic Collective Action in Recommender Systems: Promoting Songs by Reordering Playlists	2024	12	NeurIPS		https://doi.org/10.48550/arXiv.2404.04269
431	0.231	adjacent	0.00	0.00	0.21	0.20	SNDProb: A probabilistic approach for streaming novelty detection	2022	7	IEEE TKDE		https://doi.org/10.1109/tkde.2022.3169229
432	0.230	adjacent	0.00	0.00	0.36	0.00	MvStHgL: Multi-View Hypergraph Learning with Spatial-Temporal Periodic Interests for Next POI Recommendation	2024	19	ACM TOIS		https://doi.org/10.1145/3664651
433	0.230	adjacent	0.00	0.00	0.36	0.00	Bi-preference Learning Heterogeneous Hypergraph Networks for Session-based Recommendation	2023	22	ACM TOIS		https://doi.org/10.1145/3631940
434	0.229	adjacent	0.00	0.00	0.20	0.00	A novel cross-network node pair embedding methodology for anchor link prediction	2023	6	TheWebConf / WWW		https://doi.org/10.1007/s11280-023-01154-2
435	0.228	adjacent	0.00	0.25	0.07	0.00	Federated Binary Matrix Factorization Using Proximal Optimization	2025	1	AAAI		https://doi.org/10.1609/aaai.v39i15.33773
436	0.228	adjacent	0.00	0.00	0.20	0.00	Semi-automated Literature Review for Scientific Assessment of Socioeconomic Climate Change Scenarios	2022	6	TheWebConf / WWW		https://doi.org/10.1145/3487553.3524659
437	0.228	adjacent	0.00	0.00	0.42	0.00	Benchmarking and Analyzing 3D Human Pose and Shape Estimation Beyond Algorithms	2022	36	NeurIPS		https://doi.org/10.48550/arXiv.2209.10529
438	0.227	adjacent	0.00	0.00	0.19	0.00	PopGR: Popularity reweighting for debiasing in group recommendation	2024	5	TheWebConf / WWW		https://doi.org/10.1007/s11280-024-01272-5
439	0.227	adjacent	0.00	0.00	0.00	0.20	Towards Mitigating Unwanted Recommendations with Risk-Controlling Recommender Systems	2026	0	ACM RecSys		https://doi.org/10.1145/3816736
